Method,Categories,Mean (ms),Error (ms),StdDev (ms),Field Count,Query Type,Field Types,Search Type
Media_Op_Four,"media,four,op",1798.65,3.925,3.67,4,media,op,normal
Media_Op_Five,"media,five,op",2185.05,4.914,4.6,5,media,op,normal
Media_Op_Six,"media,six,op",2669.32,18.444,17.25,6,media,op,normal
Media_Op_Seven,"media,seven,op",2793.89,5.922,4.62,7,media,op,normal
Media_Op_Eight,"media,eight,op",3486.25,13.419,11.9,8,media,op,normal
Media_Op_One_ShortString,"media,one,op,shortstring",397.69,2.288,1.911,1,media,op,shortstring
Media_Op_Two_ShortString,"media,two,op,shortstring",796.3,14.451,13.517,2,media,op,shortstring
Media_Op_Three_ShortString,"media,three,op,shortstring",1197.46,12.685,11.865,3,media,op,shortstring
Media_Op_Four_ShortString,"media,four,op,shortstring",1576.58,20.381,18.067,4,media,op,shortstring
Media_Op_Five_ShortString,"media,five,op,shortstring",1973.91,19.018,16.859,5,media,op,shortstring
Media_Op_Six_ShortString,"media,six,op,shortstring",2356.98,34.185,31.976,6,media,op,shortstring
Media_Op_Seven_ShortString,"media,seven,op,shortstring",2739.5,27.625,25.84,7,media,op,shortstring
Media_Op_Eight_ShortString,"media,eight,op,shortstring",3140.7,36.274,33.93,8,media,op,shortstring
Json_Req_One_BuildUpon,"json,one,req,buildupon",26.24,0.439,0.343,1,json,req,buildupon
Json_Req_Two_BuildUpon,"json,two,req,buildupon",326.68,3.764,3.336,2,json,req,buildupon
Json_Req_Three_BuildUpon,"json,three,req,buildupon",1276.54,16.827,14.917,3,json,req,buildupon
Json_Req_Four_BuildUpon,"json,four,req,buildupon",1270.15,15.886,14.86,4,json,req,buildupon
Json_Req_Five_BuildUpon,"json,five,req,buildupon",1269.49,14.888,13.926,5,json,req,buildupon
Json_Req_Six_BuildUpon,"json,six,req,buildupon",1270.05,11.058,10.344,6,json,req,buildupon
Json_Req_Seven_BuildUpon,"json,seven,req,buildupon",1264.94,9.581,8,7,json,req,buildupon
Json_Req_Eight_BuildUpon,"json,eight,req,buildupon",1268.51,16.261,15.211,8,json,req,buildupon
Json_Req_One_LongString,"json,one,req,longstring",18.44,0.362,0.321,1,json,req,longstring
Json_Req_Two_LongString,"json,two,req,longstring",136.84,2.538,2.493,2,json,req,longstring
Json_Req_Three_LongString,"json,three,req,longstring",1278.47,25.405,23.763,3,json,req,longstring
Json_Req_Four_LongString,"json,four,req,longstring",1274.08,20.551,18.218,4,json,req,longstring
Json_Req_Five_LongString,"json,five,req,longstring",1275.26,21.957,20.539,5,json,req,longstring
Json_Req_Six_LongString,"json,six,req,longstring",1272.18,24.518,22.934,6,json,req,longstring
Json_Req_Seven_LongString,"json,seven,req,longstring",1275.43,16.021,14.986,7,json,req,longstring
Json_Req_Eight_LongString,"json,eight,req,longstring",1277.02,17.944,16.785,8,json,req,longstring
Json_Req_One,"json,one,req",26.43,0.521,0.71,1,json,req,normal
Json_Req_Two,"json,two,req",493.26,6.767,6.33,2,json,req,normal
Json_Req_Three,"json,three,req",1966.27,11.146,9.88,3,json,req,normal
Json_Req_Four,"json,four,req",2383.64,9.347,8.74,4,json,req,normal
Json_Req_Five,"json,five,req",1402.98,7.307,5.71,5,json,req,normal
Json_Req_Six,"json,six,req",2594.07,14.244,13.32,6,json,req,normal
Json_Req_Seven,"json,seven,req",2609.36,9.405,8.8,7,json,req,normal
Json_Req_Eight,"json,eight,req",4680.04,10.539,9.34,8,json,req,normal
Json_Req_One_ShortString,"json,one,req,shortstring",25.97,0.512,0.937,1,json,req,shortstring
Json_Req_Two_ShortString,"json,two,req,shortstring",372.84,4.945,4.383,2,json,req,shortstring
Json_Req_Three_ShortString,"json,three,req,shortstring",1280.3,14.273,12.653,3,json,req,shortstring
Json_Req_Four_ShortString,"json,four,req,shortstring",1308.16,25.161,22.304,4,json,req,shortstring
Json_Req_Five_ShortString,"json,five,req,shortstring",1280.73,16.058,15.021,5,json,req,shortstring
Json_Req_Six_ShortString,"json,six,req,shortstring",1283.91,15.817,14.795,6,json,req,shortstring
Json_Req_Seven_ShortString,"json,seven,req,shortstring",1288.51,19.108,17.874,7,json,req,shortstring
Json_Req_Eight_ShortString,"json,eight,req,shortstring",1287.21,18.112,16.942,8,json,req,shortstring
Media_Req_One_BuildUpon,"media,one,req,buildupon",146.83,2.882,4.735,1,media,req,buildupon
Media_Req_Two_BuildUpon,"media,two,req,buildupon",1598.75,25.381,22.5,2,media,req,buildupon
Media_Req_Three_BuildUpon,"media,three,req,buildupon",2412.93,33.383,31.226,3,media,req,buildupon
Media_Req_Four_BuildUpon,"media,four,req,buildupon",3181.99,23.472,21.955,4,media,req,buildupon
Media_Req_Five_BuildUpon,"media,five,req,buildupon",3987.76,13.665,12.114,5,media,req,buildupon
